,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),soil_temperature_level_1 (degC),soil_temperature_level_2 (degC),soil_temperature_level_3 (degC),soil_temperature_level_4 (degC),surface_thermal_radiation (W/m^2),surface_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),relative_humidity (0-1),surface_pressure (Pa),mean_sea_level_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent),snow_depth (mm of water equivalent),snow_density (kg/m^3),volumetric_soil_water_layer_1 (0-1),volumetric_soil_water_layer_2 (0-1),volumetric_soil_water_layer_3 (0-1),volumetric_soil_water_layer_4 (0-1),wind_speed (m/s),wind_direction (deg),10m_wind_gust (m/s),100m_wind_speed (m/s),100m_wind_direction (deg)
2023-01-01 00:00:00,"(42.4634, -114.4975)",era5,1318.38,-7.0,2.19,-0.45,3.11,2.54,3.47,9.51,279.21,42.63,18.47,42.63,0.83,85983.05,101041.07,1.0,0.01,0.01,16.28,168.48,0.36,0.28,0.17,0.19,1.89,255.1,2.79,3.61,259.94
2023-01-01 01:00:00,"(42.4634, -114.4975)",era5,1318.38,-7.0,1.82,-0.08,2.89,2.57,3.48,9.51,281.56,0.69,0.0,0.69,0.87,86000.45,101071.31,1.0,0.02,0.02,16.3,168.49,0.36,0.28,0.17,0.19,1.48,247.49,2.3,3.44,262.32
2023-01-01 02:00:00,"(42.4634, -114.4975)",era5,1318.38,-7.0,1.59,0.09,2.68,2.56,3.49,9.5,274.53,0.0,0.0,0.0,0.9,86043.9,101137.45,1.0,0.02,0.02,16.3,168.5,0.35,0.28,0.17,0.19,1.64,239.86,2.1,3.42,262.02
2023-01-01 03:00:00,"(42.4634, -114.4975)",era5,1318.38,-7.0,0.95,-0.62,2.34,2.54,3.49,9.5,277.76,0.0,0.0,0.0,0.89,86027.26,101126.31,1.0,0.01,0.01,16.3,168.5,0.35,0.28,0.17,0.19,1.51,190.55,2.22,2.23,234.64
2023-01-01 04:00:00,"(42.4634, -114.4975)",era5,1318.38,-7.0,0.74,-0.61,2.19,2.5,3.5,9.49,281.03,0.0,0.0,0.0,0.91,86044.05,101147.54,1.0,0.02,0.01,16.3,168.51,0.35,0.28,0.17,0.19,1.46,185.04,2.17,1.96,225.68
2023-01-01 05:00:00,"(42.4634, -114.4975)",era5,1318.38,-7.0,0.42,-0.95,2.04,2.45,3.51,9.49,270.54,0.0,0.0,0.0,0.91,86068.38,101185.34,1.0,0.02,0.02,16.32,168.5,0.35,0.28,0.17,0.19,1.51,244.65,2.43,2.39,272.69
2023-01-01 06:00:00,"(42.4634, -114.4975)",era5,1318.38,-7.0,0.03,-1.1,1.91,2.4,3.51,9.48,273.4,0.0,0.0,0.0,0.92,86042.57,101190.36,1.0,0.03,0.02,16.32,168.49,0.35,0.28,0.17,0.19,1.71,290.63,2.63,3.44,299.7
2023-01-01 07:00:00,"(42.4634, -114.4975)",era5,1318.38,-7.0,0.13,-1.04,1.9,2.34,3.52,9.48,296.16,0.0,0.0,0.0,0.92,86051.79,101220.03,1.0,0.07,0.07,16.34,168.45,0.35,0.28,0.17,0.19,1.42,288.67,2.11,2.65,300.12
2023-01-01 08:00:00,"(42.4634, -114.4975)",era5,1318.38,-7.0,0.32,-0.68,1.87,2.3,3.52,9.47,303.88,0.0,0.0,0.0,0.93,85977.38,101151.89,1.0,0.06,0.06,16.34,168.38,0.34,0.28,0.17,0.19,1.49,347.26,2.46,2.45,335.34
2023-01-01 09:00:00,"(42.4634, -114.4975)",era5,1318.38,-7.0,-0.58,-1.42,1.62,2.25,3.53,9.47,297.59,0.0,0.0,0.0,0.94,85998.23,101193.57,1.0,0.11,0.11,16.5,168.21,0.34,0.28,0.17,0.19,1.27,300.55,2.71,2.36,307.08
