,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),soil_temperature_level_1 (degC),soil_temperature_level_2 (degC),soil_temperature_level_3 (degC),soil_temperature_level_4 (degC),surface_thermal_radiation (W/m^2),surface_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),relative_humidity (0-1),surface_pressure (Pa),mean_sea_level_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent),snow_depth (mm of water equivalent),snow_density (kg/m^3),volumetric_soil_water_layer_1 (0-1),volumetric_soil_water_layer_2 (0-1),volumetric_soil_water_layer_3 (0-1),volumetric_soil_water_layer_4 (0-1),wind_speed (m/s),wind_direction (deg),10m_wind_gust (m/s),100m_wind_speed (m/s),100m_wind_direction (deg)
2023-01-01 00:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,2.83,0.26,3.42,2.61,3.4,9.74,276.0,39.95,18.97,39.95,0.83,87449.52,101027.25,1.0,0.01,0.01,6.08,160.29,0.36,0.27,0.18,0.18,2.36,265.5,3.55,4.73,267.22
2023-01-01 01:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,2.49,0.54,3.15,2.64,3.41,9.73,280.05,0.71,0.0,0.71,0.87,87471.06,101063.98,1.0,0.01,0.01,6.08,160.29,0.35,0.27,0.18,0.18,1.98,267.04,3.05,4.57,273.61
2023-01-01 02:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,2.22,0.63,2.87,2.63,3.42,9.73,270.38,0.0,0.0,0.0,0.89,87503.23,101117.37,1.0,0.01,0.01,6.08,160.28,0.35,0.27,0.18,0.18,2.02,258.22,2.8,4.39,271.44
2023-01-01 03:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,1.57,-0.09,2.39,2.59,3.43,9.72,276.54,0.0,0.0,0.0,0.89,87484.92,101107.24,1.0,0.01,0.01,6.08,160.28,0.35,0.27,0.18,0.18,1.59,221.93,3.15,2.85,255.44
2023-01-01 04:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,1.3,-0.18,2.23,2.53,3.44,9.72,277.11,0.0,0.0,0.0,0.9,87521.95,101156.12,1.0,0.01,0.01,6.08,160.28,0.35,0.27,0.18,0.18,1.43,208.15,3.37,2.54,246.51
2023-01-01 05:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,1.2,-0.29,2.13,2.47,3.45,9.71,268.52,0.0,0.0,0.0,0.9,87556.27,101212.11,1.0,0.01,0.01,6.08,160.27,0.35,0.27,0.18,0.18,1.56,254.66,3.44,3.2,275.39
2023-01-01 06:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,1.12,-0.26,1.91,2.4,3.45,9.71,271.08,0.0,0.0,0.0,0.9,87521.58,101200.16,1.0,0.01,0.01,6.08,160.25,0.35,0.27,0.18,0.18,1.69,285.54,3.18,3.52,293.05
2023-01-01 07:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,1.04,-0.37,1.86,2.33,3.46,9.7,290.07,0.0,0.0,0.0,0.9,87532.13,101223.94,1.0,0.04,0.04,6.08,160.24,0.34,0.27,0.18,0.18,1.17,272.73,2.48,2.75,285.23
2023-01-01 08:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,0.88,-0.41,1.8,2.26,3.47,9.69,296.29,0.0,0.0,0.0,0.91,87468.11,101174.12,1.0,0.03,0.02,6.17,160.22,0.34,0.27,0.18,0.18,1.16,312.43,2.86,2.6,307.11
2023-01-01 09:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,-0.09,-1.18,1.36,2.19,3.47,9.69,289.53,0.0,0.0,0.0,0.92,87489.63,101216.03,1.0,0.05,0.05,6.17,160.13,0.34,0.28,0.18,0.18,1.62,275.13,3.45,3.0,283.69
2023-01-01 10:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,-0.44,-1.31,1.35,2.24,3.48,9.68,291.6,0.0,0.0,0.0,0.94,87651.62,101465.88,1.0,0.12,0.12,6.26,159.54,0.34,0.28,0.18,0.18,2.37,283.8,4.28,3.88,282.73
2023-01-01 11:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,-0.81,-1.6,1.29,2.18,3.49,9.68,282.54,0.0,0.0,0.0,0.94,87647.91,101477.02,1.0,0.14,0.14,6.32,159.17,0.34,0.28,0.18,0.18,1.98,298.9,3.99,3.56,298.06
2023-01-01 12:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,-0.71,-1.68,1.21,2.13,3.49,9.67,289.85,0.0,0.0,0.0,0.93,87579.68,101404.36,1.0,0.16,0.16,6.42,158.65,0.34,0.28,0.18,0.18,1.59,307.17,3.65,2.78,307.29
2023-01-01 13:00:00,"(42.5992, -114.7591)",era5,1180.6,-7.0,-0.68,-1.55,1.2,2.07,3.49,9.67,289.82,0.0,0.0,0.0,0.94,87601.5,101431.09,1.0,0.17,0.17,6.56,158.11,0.34,0.28,0.18,0.18,1.77,296.89,3.72,2.84,294.69
