,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),soil_temperature_level_1 (degC),soil_temperature_level_2 (degC),soil_temperature_level_3 (degC),soil_temperature_level_4 (degC),surface_thermal_radiation (W/m^2),surface_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),relative_humidity (0-1),surface_pressure (Pa),mean_sea_level_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent),snow_depth (mm of water equivalent),snow_density (kg/m^3),volumetric_soil_water_layer_1 (0-1),volumetric_soil_water_layer_2 (0-1),volumetric_soil_water_layer_3 (0-1),volumetric_soil_water_layer_4 (0-1),wind_speed (m/s),wind_direction (deg),10m_wind_gust (m/s),100m_wind_speed (m/s),100m_wind_direction (deg)
2023-01-01 00:00:00,"(42.4679, -114.1523)",era5,1406.81,-7.0,1.82,-0.67,2.81,1.9,3.37,9.26,282.21,40.92,17.85,40.92,0.84,85042.88,101034.88,1.0,0.01,0.01,33.43,169.79,0.35,0.25,0.15,0.19,1.89,245.98,2.89,3.54,248.55
2023-01-01 01:00:00,"(42.4679, -114.1523)",era5,1406.81,-7.0,1.33,-0.57,2.58,1.92,3.37,9.25,281.06,0.48,0.0,0.48,0.87,85062.41,101067.55,1.0,0.01,0.01,33.43,169.86,0.35,0.25,0.15,0.19,1.52,239.49,2.53,3.34,252.47
2023-01-01 02:00:00,"(42.4679, -114.1523)",era5,1406.81,-7.0,1.05,-0.53,2.49,1.92,3.38,9.25,275.29,0.0,0.0,0.0,0.89,85107.26,101135.07,1.0,0.01,0.01,33.44,169.93,0.34,0.25,0.15,0.19,1.47,239.84,2.22,3.13,258.6
2023-01-01 03:00:00,"(42.4679, -114.1523)",era5,1406.81,-7.0,0.53,-1.05,2.26,1.91,3.38,9.24,277.13,0.0,0.0,0.0,0.89,85102.05,101138.87,1.0,0.01,0.01,33.45,170.01,0.34,0.25,0.15,0.19,1.36,201.67,2.19,2.1,239.81
2023-01-01 04:00:00,"(42.4679, -114.1523)",era5,1406.81,-7.0,0.45,-0.93,2.17,1.9,3.38,9.24,282.45,0.0,0.0,0.0,0.9,85103.4,101143.12,1.0,0.01,0.01,33.45,170.08,0.34,0.25,0.15,0.19,1.18,194.36,2.0,1.61,234.64
2023-01-01 05:00:00,"(42.4679, -114.1523)",era5,1406.81,-7.0,0.23,-1.2,2.12,1.89,3.39,9.23,272.32,0.0,0.0,0.0,0.9,85123.8,101177.47,1.0,0.01,0.01,33.45,170.14,0.34,0.25,0.15,0.19,1.28,260.16,2.17,2.01,275.22
2023-01-01 06:00:00,"(42.4679, -114.1523)",era5,1406.81,-7.0,-0.07,-1.17,2.02,1.87,3.39,9.23,278.2,0.0,0.0,0.0,0.92,85096.53,101176.91,1.0,0.02,0.02,33.6,170.19,0.34,0.25,0.15,0.19,1.55,301.57,2.34,2.97,306.53
2023-01-01 07:00:00,"(42.4679, -114.1523)",era5,1406.81,-7.0,0.07,-1.04,2.02,1.85,3.39,9.22,296.63,0.0,0.0,0.0,0.92,85115.78,101218.02,1.0,0.07,0.07,33.61,170.2,0.34,0.25,0.15,0.19,1.21,294.68,2.12,2.24,305.16
2023-01-01 08:00:00,"(42.4679, -114.1523)",era5,1406.81,-7.0,0.11,-0.8,1.97,1.84,3.4,9.22,306.31,0.0,0.0,0.0,0.94,85038.32,101142.09,1.0,0.06,0.06,33.63,170.17,0.33,0.25,0.15,0.19,1.32,6.24,2.58,2.01,352.58
2023-01-01 09:00:00,"(42.4679, -114.1523)",era5,1406.81,-7.0,-0.64,-1.38,1.74,1.82,3.4,9.21,300.48,0.0,0.0,0.0,0.95,85034.67,101155.25,1.0,0.1,0.1,33.65,170.06,0.33,0.25,0.15,0.19,1.09,317.38,2.42,1.7,333.73
2023-01-01 10:00:00,"(42.4679, -114.1523)",era5,1406.81,-7.0,-0.76,-1.44,1.82,1.85,3.4,9.21,299.99,0.0,0.0,0.0,0.95,85178.82,101373.87,1.0,0.17,0.17,33.77,169.52,0.33,0.25,0.15,0.19,1.89,312.87,3.52,2.82,314.01
